Electricity,ID #
"City of Bennettsville, South Carolina (Utility Company)",1566
"City of Benson, Minnesota (Utility Company)",1573
"City of Benton, Arkansas (Utility Company)",1581
"City of Benton, Kentucky (Utility Company)",1582
"City of Bentonville, Arkansas (Utility Company)",1586
"City of Berea Municipal Utility, Kentucky",49998
"City of Beresford, South Dakota (Utility Company)",1601
"City of Bessemer Utilities, Alabama",1640
"City of Bethany, Missouri (Utility Company)",1647
"City of Big Stone City, South Dakota (Utility Company)",1698
"City of Bigelow, Iowa (Utility Company)",1824
"City of Bigelow, Minnesota (Utility Company)",1824
"City of Biggs, California (Utility Company)",1702
"City of Biwabik, Minnesota (Utility Company)",1753
"City of Black River Falls, Wisconsin (Utility Company)",1776
"City of Blackwell, Oklahoma (Utility Company)",1800
"City of Blaine, Washington (Utility Company)",1818
"City of Blakely, Georgia (Utility Company)",1826
"City of Blanding, Utah (Utility Company)",1839
"City of Bloomfield, Iowa (Utility Company)",1869
"City of Blooming Prairie, Minnesota (Utility Company)",1871
"City of Blountstown, Florida (Utility Company)",1876
"City of Blue Earth, Minnesota (Utility Company)",1883
"City of Blue Hill, Nebraska (Utility Company)",20848
"City of Blue Mound, Kansas (Utility Company)",1726
"City of Bluffton, Indiana (Utility Company)",1896
"City of Boerne, Texas (Utility Company)",1913
"City of Bonners Ferry, Idaho (Utility Company)",1956
"City of Boscobel, Wisconsin (Utility Company)",1997
"City of Boulder, Nevada (Utility Company)",2008
"City of Bountiful, Utah (Utility Company)",2010
"City of Bowie, Texas (Utility Company)",2050
"City of Bowling Green, Kentucky (Utility Company)",2056
"City of Bowling Green, Ohio (Utility Company)",2054
"City of Brady, Texas (Utility Company)",2135
"City of Breckenridge, Minnesota (Utility Company)",2182
"City of Breda, Iowa (Utility Company)",2183
"City of Breese, Illinois (Utility Company)",2188
"City of Brenham, Texas (Utility Company)",2194
"City of Brewster, Minnesota (Utility Company)",2206
"City of Bridgeport Utilities, Nebraska",1955
"City of Bridgeport, Texas (Utility Company)",2210
"City of Bristol, Tennessee (Utility Company)",2247
"City of Broken Bow, Nebraska (Utility Company)",2277
"City of Bronson, Kansas (Utility Company)",2270
"City of Brookings, South Dakota (Utility Company)",2285
"City of Brooklyn, Iowa (Utility Company)",2287
"City of Brownfield, Texas (Utility Company)",2404
"City of Brownsville, Tennessee (Utility Company)",2411
"City of Brownton, Minnesota (Utility Company)",2412
"City of Brundidge, Alabama (Utility Company)",2423
"City of Bryan, Ohio (Utility Company)",2439
"City of Bryan, Texas (Utility Company)",2442
"City of Bryant, South Dakota (Utility Company)",2448
"City of Buffalo, Iowa (Utility Company)",40390
"City of Buffalo, Minnesota (Utility Company)",2485
"City of Buford, Georgia (Utility Company)",2487
"City of Buhl, Minnesota (Utility Company)",2491
"City of Burbank Water and Power, California (Utility Company)",2507
"City of Burke, South Dakota (Utility Company)",2534
"City of Burley, Idaho (Utility Company)",2545
"City of Burlingame, Kansas (Utility Company)",2547
"City of Burlington, Colorado (Utility Company)",2550
"City of Burlington, Kansas (Utility Company)",2551
"City of Burlington, Oklahoma (Utility Company)",2553
"City of Burlington-Electric, Vermont (Utility Company)",2548
"City of Burnet, Texas (Utility Company)",2559
"City of Burt, Iowa (Utility Company)",2600
"City of Burwell, Nebraska (Utility Company)",2609
"City of Bushnell, Florida (Utility Company)",2633
"City of Bushnell, Illinois (Utility Company)",2634
"City of Butler, Missouri (Utility Company)",2647
"City of Cabool, Missouri (Utility Company)",2726
"City of Cairo, Georgia (Utility Company)",2773
"City of Caldwell, Texas (Utility Company)",2800
"City of Caledonia, Minnesota (Utility Company)",2810
"City of Calhoun, Georgia (Utility Company)",2812
"City of Caliente, Nevada (Utility Company)",2821
"City of California, Missouri (Utility Company)",2851
"City of Callender, Iowa (Utility Company)",2809
"City of Cambridge, Nebraska (Utility Company)",2888
"City of Camden, South Carolina (Utility Company)",2890
"City of Cameron, Missouri (Utility Company)",2900
"City of Camilla, Georgia (Utility Company)",2910
"City of Campbell, Missouri (Utility Company)",2930
"City of Carlisle, Iowa (Utility Company)",3029
"City of Carlyle, Illinois (Utility Company)",3037
"City of Carmi, Illinois (Utility Company)",3040
"City of Cartersville, Georgia (Utility Company)",3108
"City of Carthage, Missouri (Utility Company)",3113
"City of Cascade Locks, Oregon (Utility Company)",3136
"City of Casey, Illinois (Utility Company)",3153
"City of Castroville, Texas (Utility Company)",3168
"City of Cavalier, North Dakota (Utility Company)",3186
"City of Cawker City, Kansas (Utility Company)",3191
"City of Celina, Ohio (Utility Company)",3216
"City of Center, Colorado (Utility Company)",3227
"City of Central City, Nebraska (Utility Company)",3235
"City of Centralia, Kansas (Utility Company)",3294
"City of Centralia, Missouri (Utility Company)",3296
"City of Centralia, Washington (Utility Company)",3295
"City of Ceylon, Minnesota (Utility Company)",3356
"City of Chanute, Kansas (Utility Company)",3355
"City of Chapman, Kansas (Utility Company)",3366
"City of Chappell, Nebraska (Utility Company)",3373
"City of Charlevoix, Michigan (Utility Company)",3384
"City of Chaska, Minnesota (Utility Company)",3400
"City of Chattahoochee, Florida (Utility Company)",3406
"City of Chattanooga, Georgia (Utility Company)",3408
"City of Chattanooga, Tennessee (Utility Company)",3408
"City of Chefornak, Alaska (Utility Company)",3422
"City of Cheney, Washington (Utility Company)",3420
"City of Cherryville, North Carolina (Utility Company)",3437
"City of Chetopa, Kansas (Utility Company)",3454
"City of Chewelah, Washington (Utility Company)",3459
"City of Chickamauga, Georgia (Utility Company)",3475
"City of Chicopee, Massachusetts (Utility Company)",3477
"City of Chignik, Alaska (Utility Company)",3421
"City of Cimarron, Kansas (Utility Company)",3535
"City of Claremore, Oklahoma (Utility Company)",3647
"City of Clarksville, Tennessee (Utility Company)",3704
"City of Clay Center, Kansas (Utility Company)",3710
"City of Cleveland, Ohio (Utility Company)",3762
"City of Cleveland, Tennessee (Utility Company)",3758
"City of Clewiston, Florida (Utility Company)",3774
"City of Clinton, Tennessee (Utility Company)",3812
"City of Clintonville, Wisconsin (Utility Company)",3814
"City of Cody, Wyoming (Utility Company)",3881
"City of Coffeyville, Kansas (Utility Company)",3892
"City of Coggon, Iowa (Utility Company)",3900
"City of Colby, Kansas (Utility Company)",3913
"City of Coleman, Texas (Utility Company)",3923
"City of College Park, Georgia (Utility Company)",3939
"City of College Station, Texas (Utility Company)",3940
"City of Collins, Mississippi (Utility Company)",3957
"City of Collinsville, Oklahoma (Utility Company)",3986
"City of Colman, South Dakota (Utility Company)",3735
"City of Colorado Springs, Colorado (Utility Company)",3989
"City of Colton, California (Utility Company)",4003
"City of Columbia City, Indiana (Utility Company)",4007
"City of Columbia, Missouri (Utility Company)",4045
"City of Columbiana, Ohio (Utility Company)",4061
"City of Columbus, Mississippi (Utility Company)",4068
"City of Columbus, Ohio (Utility Company)",4065
"City of Columbus, Wisconsin (Utility Company)",4073
"City of Comanche, Oklahoma (Utility Company)",4078
"City of Commerce, Georgia (Utility Company)",4091
"City of Concord, North Carolina (Utility Company)",4150
"City of Cookeville, Tennessee (Utility Company)",4294
"City of Coon Rapids, Iowa (Utility Company)",4305
"City of Cordell, Oklahoma (Utility Company)",4344
"City of Cornell, Wisconsin (Utility Company)",4369
"City of Corning, Iowa (Utility Company)",4375
"City of Corona, California (Utility Company)",4390
"City of Corwith, Iowa (Utility Company)",4304
"City of Coulee Dam, Washington (Utility Company)",4414
"City of Courtland, Alabama (Utility Company)",40364
"City of Covington, Georgia (Utility Company)",4433
"City of Covington, Indiana (Utility Company)",4429
"City of Covington, Tennessee (Utility Company)",4437
"City of Crane, Missouri (Utility Company)",4483
"City of Crete, Nebraska (Utility Company)",4527
"City of Croswell, Michigan (Utility Company)",4562
"City of Crystal Falls, Michigan (Utility Company)",4604
"City of Cuba City, Wisconsin (Utility Company)",4607
"City of Cuba, Missouri (Utility Company)",4608
"City of Cuero, Texas (Utility Company)",4610
"City of Cumberland, Wisconsin (Utility Company)",4627
"City of Curtis, Nebraska (Utility Company)",4661
"City of Cushing, Oklahoma (Utility Company)",4667
"City of Custar, Ohio (Utility Company)",4725
"City of Cuyahoga Falls, Ohio (Utility Company)",4683
"City of Danville, Iowa (Utility Company)",4791
"City of Danville, Virginia (Utility Company)",4794
"City of David City, Nebraska (Utility Company)",4836
"City of Dayton, Iowa (Utility Company)",4919
"City of Dayton, Tennessee (Utility Company)",4920
"City of Deaver, Wyoming (Utility Company)",4981
"City of Declo, Idaho (Utility Company)",7084
"City of Delta, Colorado (Utility Company)",5036
"City of Denison, Iowa (Utility Company)",5056
"City of Denton, Texas (Utility Company)",5063
"City of Denver, Iowa (Utility Company)",5076
"City of Deshler, Nebraska (Utility Company)",5097
"City of Detroit Lakes, Minnesota (Utility Company)",5111
"City of Dickson, Tennessee (Utility Company)",5148
"City of Dighton, Kansas (Utility Company)",5154
"City of Dike, Iowa (Utility Company)",5155
"City of Doerun, Georgia (Utility Company)",5236
"City of Dothan, Alabama (Utility Company)",5309
"City of Douglas, Georgia (Utility Company)",5325
"City of Dover, Delaware (Utility Company)",5335
"City of Dover, Ohio (Utility Company)",5336
"City of Dowagiac, Michigan (Utility Company)",5343
"City of Drain, Oregon (Utility Company)",5354
"City of Due West, South Carolina (Utility Company)",5402
"City of Duncan, Oklahoma (Utility Company)",5429
"City of Dunnell, Minnesota (Utility Company)",5397
"City of Durant, Iowa (Utility Company)",5529
"City of Durant, Mississippi (Utility Company)",5479
"City of Dyersburg, Tennessee (Utility Company)",5509
"City of Dysart, Iowa (Utility Company)",5518
"City of Eagle River, Wisconsin (Utility Company)",5551
"City of Earlville, Iowa (Utility Company)",5563
"City of East Grand Forks, Minnesota (Utility Company)",5575
"City of East Point, Georgia (Utility Company)",5582
"City of Easton, Missouri (Utility Company)",5583
"City of Eaton Rapids, Michigan (Utility Company)",5630
"City of Edgar, Nebraska (Utility Company)",5650
"City of Edmond, Oklahoma (Utility Company)",5661
"City of Eitzen, Minnesota (Utility Company)",5692
